Date,Time,Longitude,Latitude,Altitude,Temperature,Humidity,MicOutput,minMicOutput,maxMicOutput
2024-10-11,16:17:45,8.277767,47.071658,397,23,37,35,17,1017
2024-10-11,16:17:59,8.278280,47.071816,397,23,37,30,22,98
2024-10-11,16:18:04,8.278149,47.071805,397,23,37,31,23,60
2024-10-11,16:18:29,8.278122,47.071682,397,23,37,30,19,135
2024-10-11,16:18:34,8.278078,47.071615,397,23,37,31,22,48
2024-10-11,16:18:50,8.277991,47.071572,397,23,38,30,23,86
2024-10-11,16:18:58,8.277926,47.071570,397,23,38,22,20,70
2024-10-11,16:19:02,8.277846,47.071558,397,23,38,23,21,38
2024-10-11,16:22:01,8.276623,47.071332,396,22,39,33,19,184
2024-10-11,16:25:34,8.276662,47.071295,396,21,40,25,20,1012
2024-10-11,16:25:36,8.276748,47.071311,396,21,41,27,18,171
2024-10-11,16:25:37,8.276744,47.071325,396,21,41,25,17,63
2024-10-11,16:25:42,8.276879,47.071447,396,21,41,24,24,292
2024-10-11,16:25:44,8.276949,47.071472,396,21,41,155,38,160
2024-10-11,16:25:46,8.276997,47.071496,396,21,41,54,45,101
2024-10-11,16:25:48,8.277035,47.071503,396,21,41,129,49,129
2024-10-11,16:25:54,8.277090,47.071524,396,21,42,23,20,86
2024-10-11,16:25:56,8.277124,47.071527,396,21,42,131,39,196
2024-10-11,16:25:57,8.277136,47.071527,396,21,42,63,29,126
2024-10-11,16:26:02,8.277164,47.071522,396,21,42,96,27,199
2024-10-11,16:26:04,8.277225,47.071525,396,21,43,76,22,161
2024-10-11,16:26:05,8.277234,47.071522,396,21,42,61,22,93
2024-10-11,16:26:09,8.277233,47.071516,396,21,42,46,35,116
2024-10-11,16:26:12,8.277231,47.071510,396,21,42,99,34,154
2024-10-11,16:26:14,8.277229,47.071505,396,21,43,77,25,186
2024-10-11,16:26:15,8.277227,47.071504,396,21,43,77,42,129
2024-10-11,16:26:20,8.277203,47.071492,396,21,43,42,19,61
2024-10-11,16:26:22,8.277215,47.071493,396,21,43,58,24,102
2024-10-11,16:26:24,8.277226,47.071495,396,21,43,59,33,89
2024-10-11,16:26:27,8.277234,47.071489,396,21,43,279,36,279
2024-10-11,16:26:31,8.277229,47.071484,396,21,43,30,30,997
2024-10-11,16:26:37,8.277232,47.071489,396,21,43,186,56,1018
2024-10-11,16:27:23,8.277646,47.071626,396,21,43,44,24,1016
2024-10-11,16:27:32,8.277572,47.071631,396,21,43,21,21,60
2024-10-11,16:27:35,8.277627,47.071637,396,21,43,28,28,55
2024-10-11,16:27:38,8.277636,47.071596,396,21,43,74,26,74
2024-10-11,16:27:54,8.277865,47.071529,396,21,43,59,20,232
2024-10-11,16:28:17,8.277657,47.071547,396,20,43,29,23,236
2024-10-11,16:28:21,8.277673,47.071554,396,20,43,50,30,148
2024-10-11,16:28:26,8.277579,47.071534,396,20,43,30,28,142
2024-10-11,16:28:36,8.277540,47.071529,396,20,42,25,25,339
2024-10-11,16:28:40,8.277503,47.071525,396,20,42,45,24,79
2024-10-11,16:28:46,8.277504,47.071523,396,20,42,98,27,156
2024-10-11,16:29:27,8.277501,47.071577,396,20,42,25,21,754
2024-10-11,16:29:30,8.277534,47.071592,396,20,42,25,25,67
2024-10-11,16:29:49,8.277643,47.071598,396,20,42,44,19,64
2024-10-11,16:30:27,8.277568,47.071572,396,20,43,86,23,434
2024-10-11,16:30:35,8.277553,47.071568,396,20,43,59,38,131
2024-10-11,16:31:33,8.277586,47.071494,396,20,43,48,22,164
2024-10-11,16:31:38,8.277575,47.071493,396,20,43,27,27,97
2024-10-11,16:31:42,8.277564,47.071494,396,20,43,42,29,103
2024-10-11,16:31:50,8.277542,47.071498,397,20,43,23,23,623
2024-10-11,16:32:22,8.277016,47.071454,396,20,43,28,22,1018
2024-10-11,16:32:27,8.277079,47.071519,396,20,43,33,26,46
2024-10-11,16:32:32,8.277110,47.071536,396,20,43,42,30,45
2024-10-11,16:32:48,8.277310,47.071558,396,20,43,27,24,75
2024-10-11,16:32:52,8.277342,47.071560,396,20,43,21,21,126
2024-10-11,16:32:55,8.277362,47.071561,396,20,43,37,32,57
2024-10-11,16:32:58,8.277389,47.071560,396,20,43,34,34,403
2024-10-11,16:33:02,8.277422,47.071566,396,20,43,47,23,74
2024-10-11,16:33:08,8.277416,47.071565,396,20,43,26,24,79
2024-10-11,16:33:29,8.277342,47.071577,396,20,44,45,24,88
2024-10-11,16:33:40,8.277452,47.071615,396,20,44,47,25,152
2024-10-11,16:33:49,8.277426,47.071615,396,20,44,63,32,122
2024-10-11,16:34:38,8.277590,47.071640,396,20,45,39,20,103
2024-10-11,16:35:05,8.277498,47.071652,396,20,45,26,26,115
